Account,date,sentiment_bucket,classification,daily_pnl,n_trades,n_wins,avg_trade_size_usd,total_volume_usd,n_long,win_rate,n_short,long_short_ratio,is_profitable_day
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-30,Greed,Greed,0.0,6,0,6001.078333333334,36006.47,6,0.0,0,,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-31,Greed,Greed,0.0,3,0,13335.046666666667,40005.14,3,0.0,0,,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-08-01,Neutral,Neutral,0.0,13,0,11076.539230769231,143995.01,13,0.0,0,,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-08-02,Greed,Greed,0.0,36,0,8221.31,295967.16,35,0.0,1,35.0,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-08-03,Fear,Fear,0.0,13,0,8652.23,112478.98999999999,13,0.0,0,,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-08-04,Fear,Fear,-108604.496278,72,0,12521.542916666665,901551.09,72,0.0,0,,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-08-05,Fear,Fear,-4779.219012,17,0,12572.832941176472,213738.16,17,0.0,0,,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-08-09,Neutral,Neutral,11147.900554,12,9,11003.166666666666,132038.0,12,0.75,0,,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-08-11,Fear,Fear,847.7766200000001,8,4,5104.981250000001,40839.850000000006,4,0.5,4,1.0,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-08-12,Fear,Fear,858.6705000000001,16,6,2758.775,44140.4,10,0.375,6,1.6666666666666667,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-08-13,Fear,Fear,0.0,5,0,2500.02,12500.1,4,0.0,1,4.0,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-08-14,Fear,Fear,2168.9015130000003,9,5,7185.148888888889,64666.34,9,0.5555555555555556,0,,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-08-16,Fear,Fear,0.0,2,0,6250.0650000000005,12500.130000000001,2,0.0,0,,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-08-18,Fear,Fear,307.201888,14,12,4486.033571428571,62804.47,12,0.8571428571428571,2,6.0,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-08-20,Fear,Fear,192.602844,8,1,5302.23375,42417.87,4,0.125,4,1.0,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-08-23,Fear,Fear,1005.30527,10,3,6350.956,63509.56,3,0.3,7,0.42857142857142855,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-08-24,Greed,Greed,0.0,2,0,7500.035,15000.07,0,0.0,2,0.0,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-08-25,Neutral,Neutral,0.0,4,0,3749.0825,14996.33,0,0.0,4,0.0,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-08-26,Greed,Greed,231.236918,5,2,18452.704,92263.52,3,0.4,2,1.5,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-08-27,Neutral,Neutral,0.0,7,0,9286.455714285714,65005.19,7,0.0,0,,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-08-28,Fear,Fear,0.0,7,0,6784.937142857142,47494.56,7,0.0,0,,False
